"code","label"
1,"Any animal in carriageway (except ridden horse)"
2,"Any animal in carriageway (except ridden horse) (from 2005)"
3,"Automatic traffic signal out"
4,"Automatic traffic signal partially defective"
5,"Data missing or out of range"
6,"Dislodged vehicle load in carriageway"
7,"Dog on road"
8,"Involvement with previous accident"
9,"Mud"
10,"None"
11,"Oil or diesel"
12,"Other animal on road"
13,"Other object in carriageway"
14,"Other object on road"
15,"Pedestrian in carriageway - not injured"
16,"Pedestrian in carriageway - not injured (from 2005)"
17,"Permanent road signing or marking defective or obscured"
18,"Previous accident"
19,"Vehicle load on road"
