"code","label"
1,"Agricultural vehicle occupant"
2,"Bus or coach occupant"
3,"Bus or coach occupant (17 or more pass seats)"
4,"Car occupant"
5,"Combination rider or passenger"
6,"Cyclist"
7,"Electric motorcycle rider or passenger"
8,"Goods veh (7.5t. and over) occupant"
9,"Goods veh (over 3.5t.,under 7.5t.)occupant"
10,"Goods veh (up to 3.5t. mgw) occupant"
11,"Goods vehicle (over 3.5t. and under 7.5t.) occupant"
12,"Goods vehicle (unknown weight) occupant"
13,"HGV occupant"
14,"Horse rider"
15,"Minibus (8 - 16 passenger seats) occupant"
16,"Minibus occupant"
17,"Minibus or motor caravan occupant"
18,"Mobility scooter rider"
19,"Moped rider or passenger"
20,"Motor cycle (over 125 cc) rider or pass"
21,"Motorcycle - unknown cc rider or passenger"
22,"Motorcycle 125cc and under rider or passenger"
23,"Motorcycle 50cc and under rider or passenger"
24,"Motorcycle over 125cc and up to 500cc rider or  passenger"
25,"Motorcycle over 500cc rider or passenger"
26,"Motorcycle rider or passenger"
27,"Other motor vehicle occupant"
28,"Other non - motor veh occupant"
29,"Other vehicle occupant"
30,"Pedestrian"
31,"Scooter rider or passenger"
32,"Taxi occupant"
33,"Taxi/Private hire car occupant"
34,"Tram occupant"
35,"Unknown"
36,"Van / Goods vehicle (3.5 tonnes mgw or under) occupant"
