"code","label"
1,"Crossing from driver's nearside"
2,"Crossing from driver's offside"
3,"Crossing from nearside - masked by parked or stationary vehicle"
4,"Crossing from offside - masked by  parked or stationary vehicle"
5,"In carriageway, stationary - not crossing  (standing or playing)"
6,"In carriageway, stationary - not crossing  (standing or playing) - masked by parked or stationary vehicle"
7,"Not a Pedestrian"
8,"Unknown or other"
9,"Walking along in carriageway, back to traffic"
10,"Walking along in carriageway, facing traffic"
