"code","label"
1,"Changing lane to left"
2,"Changing lane to right"
3,"Data missing or out of range"
4,"Going ahead left-hand bend"
5,"Going ahead other"
6,"Going ahead right-hand bend"
7,"Moving off"
8,"Overtaking - nearside"
9,"Overtaking moving veh - offside"
10,"Overtaking moving vehicle - offside"
11,"Overtaking static veh - offside"
12,"Overtaking static vehicle - offside"
13,"Parked"
14,"Reversing"
15,"Slowing or stopping"
16,"Starting"
17,"Stopping"
18,"Turning left"
19,"Turning right"
20,"U-turn"
21,"Waiting to go - held up"
22,"Waiting to turn left"
23,"Waiting to turn right"
