"code","label"
1,"Agricultural vehicle"
2,"Bus or coach (17 or more pass seats)"
3,"Car"
4,"Combination"
5,"Electric motorcycle"
6,"Goods over 3.5 tonnes"
7,"Goods over 3.5t and under 7.5t"
8,"Goods over 3.5t. and under 7.5t"
9,"Goods over 7.5t."
10,"Goods under 3.5t."
11,"Goods vehicle - unknown weight"
12,"Minibus (8 - 16 passenger seats)"
13,"Minibus or motor-caravan"
14,"Mobility scooter"
15,"Moped"
16,"Motor cycle"
17,"Motor cycle over 125cc"
18,"Motorcycle - unknown cc"
19,"Motorcycle 125cc and under"
20,"Motorcycle 50cc and under"
21,"Motorcycle over 125cc and up to 500cc"
22,"Motorcycle over 500cc"
23,"Other motor vehicle"
24,"Other non-motor vehicle"
25,"Other vehicle"
26,"Pedal cycle"
27,"Ridden horse"
28,"Scooter"
29,"Taxi"
30,"Taxi/Private hire car"
31,"Tram"
