"rtid","roadtype","onewaysummary","sidewalk","cyclewayleft","lanespsvforward","lanesforward","lanesbackward","lanespsvbackward","cyclewayright"
1,"Cycleway","One Way","Not Applicable","no",0,0,0,0,"no"
2,"Cycleway","Two Way","Not Applicable","no",0,0,0,0,"no"
3,"Living Street","One Way","no","no",0,1,0,0,"lane"
4,"Living Street","One Way","no","no",0,1,0,0,"no"
5,"Living Street","One Way - Two Way Cycling","no","no",0,1,0,0,"lane"
6,"Living Street","One Way - Two Way Cycling","no","no",0,1,0,0,"no"
7,"Living Street","Two Way","no","no",0,1,1,0,"no"
8,"Living Street","Two Way","no","no",0,1,0,0,"no"
9,"Living Street","Two Way","both","no",0,1,1,0,"no"
10,"Living Street","Two Way","no","lane",0,1,1,0,"lane"
11,"Living Street","Two Way","no","share_busway",1,1,1,0,"no"
12,"Main Road - Cycling Allowed","One Way","no","no",0,1,0,0,"no"
13,"Main Road - Cycling Allowed","One Way","left","no",0,1,0,0,"no"
14,"Main Road - Cycling Allowed","One Way","both","no",0,1,0,0,"no"
15,"Main Road - Cycling Allowed","One Way","no","lane",0,1,0,0,"lane"
16,"Main Road - Cycling Allowed","One Way","no","no",0,1,0,0,"lane"
17,"Main Road - Cycling Allowed","One Way","no","no",0,1,0,1,"share_busway"
18,"Main Road - Cycling Allowed","One Way","no","lane",0,1,0,0,"no"
19,"Main Road - Cycling Allowed","One Way","no","share_busway",1,1,0,0,"no"
20,"Main Road - Cycling Allowed","One Way","both","share_busway",1,1,0,0,"no"
21,"Main Road - Cycling Allowed","One Way","both","no",0,1,0,0,"lane"
22,"Main Road - Cycling Allowed","One Way","right","no",0,1,0,0,"no"
23,"Main Road - Cycling Allowed","One Way","left","share_busway",1,1,0,0,"no"
24,"Main Road - Cycling Allowed","One Way","left","lane",0,1,0,0,"no"
25,"Main Road - Cycling Allowed","One Way","no","track",0,1,0,0,"no"
26,"Main Road - Cycling Allowed","One Way","no","track",0,1,0,0,"track"
27,"Main Road - Cycling Allowed","One Way","no","no",0,1,0,0,"track"
28,"Main Road - Cycling Allowed","One Way","left","track",0,1,0,0,"track"
29,"Main Road - Cycling Allowed","One Way","both","track",0,1,0,0,"track"
30,"Main Road - Cycling Allowed","One Way","no","lane",0,1,0,1,"share_busway"
31,"Main Road - Cycling Allowed","One Way","no","share_busway",1,1,0,0,"lane"
32,"Main Road - Cycling Allowed","One Way","both","lane",0,1,0,0,"lane"
33,"Main Road - Cycling Allowed","One Way","no","no",0,2,0,0,"no"
34,"Main Road - Cycling Allowed","One Way","left","no",0,2,0,0,"no"
35,"Main Road - Cycling Allowed","One Way","both","no",0,2,0,0,"no"
36,"Main Road - Cycling Allowed","One Way","no","lane",0,2,0,0,"no"
37,"Main Road - Cycling Allowed","One Way","right","lane",0,2,0,0,"no"
38,"Main Road - Cycling Allowed","One Way","both","lane",0,2,0,0,"lane"
39,"Main Road - Cycling Allowed","One Way","no","lane",0,2,0,0,"lane"
40,"Main Road - Cycling Allowed","One Way","no","track",0,2,0,0,"no"
41,"Main Road - Cycling Allowed","One Way","no","share_busway",1,2,0,0,"no"
42,"Main Road - Cycling Allowed","One Way","no","track",0,2,0,0,"track"
43,"Main Road - Cycling Allowed","One Way","left","lane",0,2,0,0,"no"
44,"Main Road - Cycling Allowed","One Way","left","lane",0,2,0,0,"lane"
45,"Main Road - Cycling Allowed","One Way","both","lane",0,2,0,0,"no"
46,"Main Road - Cycling Allowed","One Way","no","no",0,3,0,0,"no"
47,"Main Road - Cycling Allowed","One Way","both","no",0,3,0,0,"no"
48,"Main Road - Cycling Allowed","One Way","right","no",0,3,0,0,"no"
49,"Main Road - Cycling Allowed","One Way","no","lane",0,3,0,0,"lane"
50,"Main Road - Cycling Allowed","One Way","no","share_busway",1,3,0,0,"no"
51,"Main Road - Cycling Allowed","One Way","left","no",0,3,0,0,"no"
52,"Main Road - Cycling Allowed","One Way","no","lane",0,3,0,0,"no"
53,"Main Road - Cycling Allowed","One Way","no","track",0,3,0,0,"no"
54,"Main Road - Cycling Allowed","One Way","no","no",0,4,0,0,"no"
55,"Main Road - Cycling Allowed","One Way","no","share_busway",1,4,0,0,"no"
56,"Main Road - Cycling Allowed","One Way","both","no",0,4,0,0,"no"
57,"Main Road - Cycling Allowed","One Way","no","no",0,5,0,0,"no"
58,"Main Road - Cycling Allowed","One Way - Two Way Cycling","both","lane",0,1,0,0,"lane"
59,"Main Road - Cycling Allowed","One Way - Two Way Cycling","both","no",0,1,0,0,"lane"
