"regions","raw","recc"
"Andover",2018-03-23,2018-03-31
"Ashford",2018-03-23,2018-03-31
"Banbury",2018-03-23,2018-03-31
"Barnsley",2018-03-23,2018-03-31
"Barnstaple",2018-03-23,2018-03-31
"BarrowinFurness",2018-03-23,2018-03-31
"Basingstoke",2018-03-23,2018-03-31
"Bath",2018-03-23,2018-03-31
"Bedford",2018-03-23,2018-03-31
"Berwick",2018-03-23,2018-03-31
"Bideford",2018-03-23,2018-03-31
"Birkenhead",2018-03-23,2018-03-31
"Birmingham",2018-03-23,2018-03-31
"Blackburn",2018-03-23,2018-03-31
"Blackpool",2018-03-23,2018-03-31
"BlandfordForumandGillingham",2018-03-23,2018-03-31
"BlythandAshington",2018-03-23,2018-03-31
"Boston",2018-03-23,2018-03-31
"Bournemouth",2018-03-23,2018-03-31
"Bradford",2018-03-23,2018-03-31
"Bridgwater",2018-03-23,2018-03-31
"Bridlington",2018-03-23,2018-03-31
"Bridport",2018-03-23,2018-03-31
"Brighton",2018-03-23,2018-03-31
"Bristol",2018-03-23,2018-03-31
"Bude",2018-03-23,2018-03-31
"Burnley",2018-03-23,2018-03-31
"BurtonuponTrent",2018-03-23,2018-03-31
"BuryStEdmunds",2018-03-23,2018-03-31
"Buxton",2018-03-23,2018-03-31
"Cambridge",2018-03-23,2018-03-31
"Canterbury",2018-03-23,2018-03-31
"Carlisle",2018-03-23,2018-03-31
"Chelmsford",2018-03-23,2018-03-31
"Cheltenham",2018-03-23,2018-03-31
"Chester",2018-03-23,2018-03-31
"Chesterfield",2018-03-23,2018-03-31
"ChichesterandBognorRegis",2018-03-23,2018-03-31
"Clacton",2018-03-23,2018-03-31
"Colchester",2018-03-23,2018-03-31
"Corby",2018-03-23,2018-03-31
"Coventry",2018-03-23,2018-03-31
"Crawley",2018-03-23,2018-03-31
"Crewe",2018-03-23,2018-03-31
"CromerandSheringham",2018-03-23,2018-03-31
"Darlington",2018-03-23,2018-03-31
"Derby",2018-03-23,2018-03-31
"Doncaster",2018-03-23,2018-03-31
"DorchesterandWeymouth",2018-03-23,2018-03-31
"Dudley",2018-03-23,2018-03-31
"DurhamandBishopAuckland",2018-03-23,2018-03-31
"Eastbourne",2018-03-23,2018-03-31
"Evesham",2018-03-23,2018-03-31
"Exeter",2018-03-23,2018-03-31
"Falmouth",2018-03-23,2018-03-31
"FolkestoneandDover",2018-03-23,2018-03-31
"Gloucester",2018-03-23,2018-03-31
"Grantham",2018-03-23,2018-03-31
"GreatYarmouth",2018-03-23,2018-03-31
"Grimsby",2018-03-23,2018-03-31
"GuildfordandAldershot",2018-03-23,2018-03-31
"Halifax",2018-03-23,2018-03-31
"Harrogate",2018-03-23,2018-03-31
"Hartlepool",2018-03-23,2018-03-31
"Hastings",2018-03-23,2018-03-31
"Hereford",2018-03-23,2018-03-31
"Hexham",2018-03-23,2018-03-31
"HighWycombeandAylesbury",2018-03-23,2018-03-31
"Huddersfield",2018-03-23,2018-03-31
"Hull",2018-03-23,2018-03-31
"Huntingdon",2018-03-23,2018-03-31
"Ipswich",2018-03-23,2018-03-31
"IsleofWight",2018-03-23,2018-03-31
"Kendal",2018-03-23,2018-03-31
"KetteringandWellingborough",2018-03-23,2018-03-31
"KingsbridgeandDartmouth",2018-03-23,2018-03-31
"KingsLynn",2018-03-23,2018-03-31
"LancasterandMorecambe",2018-03-23,2018-03-31
"Launceston",2018-03-23,2018-03-31
"LeamingtonSpa",2018-03-23,2018-03-31
"Leeds",2018-03-23,2018-03-31
"Leicester",2018-03-23,2018-03-31
"Lincoln",2018-03-23,2018-03-31
"Liskeard",2018-03-23,2018-03-31
"Liverpool",2018-03-23,2018-03-31
"London",2018-03-23,2018-03-31
"Lowestoft",2018-03-23,2018-03-31
"Ludlow",2018-03-23,2018-03-31
"Luton",2018-03-23,2018-03-31
"Malton",2018-03-23,2018-03-31
"Manchester",2018-03-23,2018-03-31
"Mansfield",2018-03-23,2018-03-31
"MargateandRamsgate",2018-03-23,2018-03-31
"Medway",2018-03-23,2018-03-31
"MiddlesbroughandStockton",2018-03-23,2018-03-31
"MiltonKeynes",2018-03-23,2018-03-31
"Minehead",2018-03-23,2018-03-31
"Newbury",2018-03-23,2018-03-31
"Newcastle",2018-03-23,2018-03-31
"Northallerton",2018-03-23,2018-03-31
"Northampton",2018-03-23,2018-03-31
"Norwich",2018-03-23,2018-03-31
"Nottingham",2018-03-23,2018-03-31
"Oswestry",2018-03-23,2018-03-31
"Oxford",2018-03-23,2018-03-31
"Penrith",2018-03-23,2018-03-31
"Penzance",2018-03-23,2018-03-31
"Peterborough",2018-03-23,2018-03-31
"Plymouth",2018-03-23,2018-03-31
"Poole",2018-03-23,2018-03-31
"Portsmouth",2018-03-23,2018-03-31
"Preston",2018-03-23,2018-03-31
"Reading",2018-03-23,2018-03-31
"RedruthandTruro",2018-03-23,2018-03-31
"Salisbury",2018-03-23,2018-03-31
"Scarborough",2018-03-23,2018-03-31
"Scunthorpe",2018-03-23,2018-03-31
"Sheffield",2018-03-23,2018-03-31
"Shrewsbury",2018-03-23,2018-03-31
"Sidmouth",2018-03-23,2018-03-31
"SkegnessandLouth",2018-03-23,2018-03-31
"Skipton",2018-03-23,2018-03-31
"SloughandHeathrow",2018-03-23,2018-03-31
"Southampton",2018-03-23,2018-03-31
"Southend",2018-03-23,2018-03-31
"Spalding",2018-03-23,2018-03-31
"Stafford",2018-03-23,2018-03-31
"StAustellandNewquay",2018-03-23,2018-03-31
"StevenageandWelwynGardenCity",2018-03-23,2018-03-31
"StokeonTrent",2018-03-23,2018-03-31
"StreetandWells",2018-03-23,2018-03-31
"Sunderland",2018-03-23,2018-03-31
"Swindon",2018-03-23,2018-03-31
"Taunton",2018-03-23,2018-03-31
"Telford",2018-03-23,2018-03-31
"ThetfordandMildenhall",2018-03-23,2018-03-31
"TorquayandPaignton",2018-03-23,2018-03-31
"Trowbridge",2018-03-23,2018-03-31
"TunbridgeWells",2018-03-23,2018-03-31
"Wadebridge",2018-03-23,2018-03-31
"WakefieldandCastleford",2018-03-23,2018-03-31
"WarringtonandWigan",2018-03-23,2018-03-31
